Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Schnyder P.,Osterloh L.,15.0,91.0,1836.0,372.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.35,1.063,8.0,1.057,14.5,1.05,9.5
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Pennetta F.,Cibulkova D.,37.0,48.0,772.0,589.0,6.0,4.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.53,2.37,1.58,2.28,1.5,2.5,1.571,2.65,1.54,2.4
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Hsieh S.W.,Zakopalova K.,158.0,63.0,215.0,471.0,2.0,6.0,6.0,4.0,8.0,6.0,2.0,1.0,Completed,2.0,1.72,2.15,1.65,2.0,1.727,2.3,1.714,2.2,1.65
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Kloesel S.,Schruff J.,162.0,114.0,191.0,313.0,6.0,1.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,2.62,1.44,2.45,1.5,2.375,1.533,2.42,1.658,2.5,1.5
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Schiavone F.,Loit E.,24.0,44.0,1101.0,630.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,1.12,5.5,1.15,5.2,1.2,4.333,1.177,6.16,1.17,4.8
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sugiyama A.,Zvonareva V.,41.0,22.0,729.0,1146.0,6.0,3.0,1.0,1.0,,,1.0,0.0,Retired,3.75,1.25,2.92,1.37,3.75,1.25,3.6,1.357,3.2,1.33
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Perebiynis T.,Brengle M.,93.0,228.0,365.0,123.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.28,3.5,1.25,3.9,1.286,3.5,1.299,4.05,1.29,3.5
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Bammer S.,Tanasugarn T.,20.0,117.0,1308.0,305.0,6.0,7.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.14,5.0,1.13,5.5,1.143,5.0,1.155,6.85,1.14,5.4
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Razzano V.,Harkleroad A.,29.0,58.0,954.0,510.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.36,3.0,1.4,2.85,1.364,3.0,1.476,2.9,1.37,3.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Molik A.,Kanepi K.,62.0,60.0,485.0,501.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,1.44,2.62,1.42,2.75,1.071,7.5,1.42,3.18,1.43,2.75
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Vaidisova N.,Olaru I.,12.0,57.0,1977.0,511.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.02,12.0,1.05,8.5,1.06,8.0,1.038,21.0,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Chakvetadze A.,Petkovic,6.0,92.0,2880.0,368.0,0.0,0.0,,,,,0.0,0.0,Retired,1.03,10.0,1.04,9.25,1.04,10.0,1.044,18.5,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Fernandez C.,59.0,400.0,506.0,48.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.36,3.0,1.35,3.1,1.333,3.25,1.478,2.89,1.4,2.85
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Meusburger Y.,Granville L.,70.0,72.0,442.0,437.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.1,1.66,2.15,1.65,2.1,1.667,2.3,1.714,2.23,1.62
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Hantuchova D.,King V.,9.0,108.0,2367.0,328.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.04,9.0,1.06,7.79,1.071,7.5,1.057,14.5,1.06,8.5
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Morigami A.,Krajicek M.,49.0,33.0,588.0,864.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.8,1.9,1.7,2.05,1.8,1.909,1.962,1.943,1.7,2.1
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kleybanova A.,Peng S.,154.0,45.0,224.0,614.0,7.0,5.0,4.0,6.0,9.0,7.0,2.0,1.0,Completed,3.0,1.36,2.6,1.45,3.0,1.36,2.6,1.588,3.0,1.37
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kirilenko M.,Tu M.,26.0,46.0,973.0,607.0,6.0,4.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,1.16,4.5,1.17,4.67,1.167,4.5,1.239,4.79,1.22,4.1
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Wozniacki C.,Dulko G.,64.0,38.0,464.0,770.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.9,1.8,1.95,1.8,1.833,1.833,2.04,1.877,1.88,1.88
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Pironkova T.,Govortsova O.,94.0,47.0,365.0,597.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.5,2.5,1.37,2.92,1.533,2.375,1.444,3.05,1.44,2.72
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Domachowska M.,Johansson M.,146.0,134.0,236.0,260.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.36,3.0,1.35,3.1,1.364,3.0,1.357,3.6,1.37,3.0
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Parmentier P.,Muller M.,56.0,54.0,513.0,540.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.33,3.25,1.28,3.46,1.364,3.0,1.332,3.71,1.3,3.4
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Radwanska A.,Savchuk O.,28.0,86.0,962.0,383.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.5,1.1,6.75,1.111,6.0,1.125,8.2,1.1,6.75
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kuznetsova S.,Dechy N.,2.0,67.0,3810.0,456.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.03,10.0,1.07,7.19,1.063,8.0,1.038,21.5,1.05,9.5
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Bacsinszky T.,Ferguson S.,119.0,174.0,298.0,171.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.25,3.75,1.23,3.89,1.25,3.75,1.244,4.7,1.22,4.1
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Bondarenko A.,Kudryavtseva A.,21.0,75.0,1171.0,413.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.16,4.5,1.2,4.25,1.222,4.0,1.211,5.35,1.22,4.1
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Makarova E.,Szavay A.,110.0,19.0,321.0,1316.0,3.0,6.0,6.0,4.0,7.0,5.0,2.0,1.0,Completed,8.5,1.05,6.25,1.1,7.0,1.083,10.5,1.087,7.8,1.07
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Lisicki S.,Safina D.,194.0,16.0,152.0,1750.0,7.0,6.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,8.5,1.05,7.19,1.07,7.0,1.083,14.5,1.057,9.5,1.05
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Koryttseva M.,Salerni M.E.,104.0,88.0,336.0,379.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,2.0,1.72,2.1,1.7,2.0,1.727,2.6,1.588,2.0,1.77
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Mirza S.,Tulyaganova I.,32.0,317.0,901.0,73.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.08,7.0,1.1,6.23,1.1,6.5,1.085,10.75,1.11,6.35
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Arvidsson S.,Bartoli M.,80.0,10.0,396.0,2191.0,6.0,7.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,4.5,1.16,4.25,1.2,4.333,1.2,5.0,1.227,4.2,1.21
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Rodionova A.,Bachmann A.,79.0,159.0,397.0,203.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,2.1,1.66,2.3,1.6,2.0,1.727,2.33,1.699,,
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Ivanovic A.,Cirstea S.,3.0,106.0,3516.0,333.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.03,11.0,1.02,11.5,1.04,9.0,1.02,36.0,1.02,15.0
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Castano C.,Safarova L.,139.0,23.0,252.0,1132.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,8.5,1.05,7.19,1.07,8.0,1.063,18.5,1.044,8.5,1.06
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Srebotnik K.,Dominguez Lino L.,27.0,71.0,971.0,439.0,4.0,6.0,6.0,0.0,9.0,7.0,2.0,1.0,Completed,1.08,7.0,1.1,6.25,1.083,7.0,1.085,10.75,1.1,6.75
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Camerin M.E.,Wheeler C.,99.0,214.0,347.0,134.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,1.55,2.35,1.533,2.375,1.694,2.34,1.56,2.36
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Garbin T.,Daniilidou E.,40.0,36.0,741.0,795.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,3.25,1.33,3.35,1.3,3.0,1.364,4.0,1.303,3.2,1.33
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Li N.,Bremond S.,30.0,115.0,932.0,308.0,6.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.07,7.5,1.04,9.25,1.071,7.5,1.067,12.84,1.07,7.8
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Kremer A.,Linetskaya E.,84.0,584.0,388.0,23.0,7.0,6.0,6.0,0.0,,,2.0,0.0,Completed,1.57,2.25,1.48,2.53,1.533,2.375,1.637,2.47,1.54,2.4
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Petrova N.,Pratt N.,14.0,87.0,1862.0,380.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.08,7.0,1.1,6.25,1.125,5.5,1.071,12.0,1.12,5.85
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Pin C.,Niculescu M.,90.0,155.0,372.0,221.0,5.0,7.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.44,2.62,1.48,2.53,1.5,2.5,1.637,2.47,1.5,2.5
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Ruano Pascual V.,Vinci R.,82.0,74.0,389.0,419.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.57,2.25,1.55,2.35,1.571,2.25,1.556,2.7,1.5,2.5
WTA,2008,5,Melbourne,Australian Open,2008-01-15,Grand Slam,Outdoor,Hard,1st Round,3,Williams V.,Yan Z.,8.0,61.0,2470.0,499.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.03,11.0,1.04,9.25,1.02,11.0,1.025,28.5,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Dellacqua C.,Schnyder P.,78.0,15.0,398.0,1836.0,4.0,6.0,7.0,5.0,8.0,6.0,2.0,1.0,Completed,7.0,1.08,6.75,1.1,5.5,1.125,8.43,1.122,6.0,1.12
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Henin J.,Poutchkova O.,1.0,97.0,6430.0,353.0,6.0,1.0,7.0,5.0,,,2.0,0.0,Completed,1.005,19.0,1.01,13.5,1.01,15.0,1.014,51.66,1.01,25.0
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Schiavone F.,Kerber A.,24.0,89.0,1101.0,378.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.12,5.5,1.15,5.2,1.125,5.5,1.157,6.75,1.15,5.15
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Mauresmo A.,Shvedova Y.,18.0,85.0,1503.0,385.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.08,7.0,1.07,7.19,1.063,8.0,1.133,7.8,1.08,7.4
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Azarenka V.,Kloesel S.,25.0,162.0,1026.0,191.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.5,1.11,5.84,1.111,6.0,1.091,10.0,1.1,6.75
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Razzano V.,Pennetta F.,29.0,37.0,954.0,772.0,6.0,2.0,5.0,7.0,6.0,3.0,2.0,1.0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.704,2.32,1.64,2.2
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Vesnina E.,Craybas J.,55.0,98.0,519.0,348.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.5,2.5,1.53,2.4,1.5,2.5,1.621,2.51,1.57,2.34
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Sugiyama A.,Perebiynis T.,41.0,93.0,729.0,365.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.61,2.2,1.65,2.15,1.615,2.2,1.84,2.09,1.7,2.1
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Vaidisova N.,Molik A.,12.0,62.0,1977.0,485.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,1.15,5.2,1.167,4.5,1.193,5.69,1.18,4.6
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Jankovic J.,Gallovits E.,4.0,76.0,3390.0,412.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.08,7.0,1.1,6.75,1.063,8.0,1.13,8.0,1.08,7.4
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Williams S.,Yuan M.,7.0,121.0,2772.0,291.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.01,13.0,1.01,13.5,1.02,11.0,1.02,36.0,1.01,25.0
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Dementieva E.,Medina Garrigues A.,11.0,34.0,1985.0,840.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.16,4.5,1.18,4.45,1.167,4.5,1.233,4.9,1.18,4.6
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Rezai A.,Golovin T.,69.0,13.0,449.0,1882.0,6.0,3.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,3.0,1.35,3.15,1.33,4.333,1.2,3.21,1.415,3.2,1.33
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Peer S.,Moore J.,17.0,376.0,1640.0,55.0,6.0,0.0,7.0,5.0,,,2.0,0.0,Completed,1.03,11.0,1.04,9.25,1.04,9.0,1.037,22.0,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Hsieh S.W.,Bammer S.,158.0,20.0,215.0,1308.0,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,5.5,1.12,5.2,1.15,5.5,1.125,6.9,1.154,5.0,1.16
WTA,2008,5,Melbourne,Australian Open,2008-01-16,Grand Slam,Outdoor,Hard,2nd Round,3,Sharapova M.,Davenport L.,5.0,51.0,2956.0,545.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.33,3.25,1.35,3.1,1.364,3.0,1.351,3.65,1.35,3.1
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Ruano Pascual V.,Castano C.,82.0,139.0,389.0,252.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.493,2.83,1.45,2.67
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Makarova E.,Meusburger Y.,110.0,70.0,321.0,442.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.66,2.1,1.6,2.25,1.667,2.1,1.709,2.31,1.67,2.15
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Kirilenko M.,Morigami A.,26.0,49.0,973.0,588.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.85,1.364,3.0,1.429,3.13,1.4,2.85
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Kuznetsova S.,Pironkova T.,2.0,94.0,3810.0,365.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.02,12.0,1.04,9.25,1.04,9.0,1.043,19.0,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Williams V.,Pin C.,8.0,90.0,2470.0,372.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.02,12.0,1.03,10.5,1.03,10.0,1.038,21.0,1.04,11.0
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Radwanska A.,Parmentier P.,28.0,56.0,962.0,513.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.11,6.0,1.15,5.2,1.125,5.5,1.171,6.35,1.15,5.15
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Mirza S.,Bacsinszky T.,32.0,119.0,901.0,298.0,6.0,1.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.22,4.0,1.17,4.67,1.2,4.333,1.26,4.55,1.22,4.1
